ID;Char;Writable;Displayable
0; ;1;1
1;À;0;0
2;Á;0;0
3;Â;0;0
4;Ç;0;0
5;È;0;0
6;É;0;0
7;Ê;0;0
8;Ë;0;0
9;Ì;0;0
10;_;0;0
11;Î;0;0
12;Ï;0;0
13;Ò;0;0
14;Ó;0;0
15;Ô;0;0
16;Œ;0;0
17;Ù;0;0
18;Ú;0;0
19;Û;0;0
20;Ñ;0;0
21;ß;0;0
22;à;0;0
23;á;0;0
24;_;0;0
25;ç;0;0
26;è;0;0
27;é;0;0
28;ê;0;0
29;ë;0;0
30;ì;0;0
31;_;0;0
32;î;0;0
33;ï;0;0
34;ò;0;0
35;ó;0;0
36;ô;0;0
37;œ;0;0
38;ù;0;0
39;ú;0;0
40;û;0;0
41;ñ;0;0
42;º;0;0
43;ª;0;0
44;ᵉʳ;0;0
45;&;0;0
46;+;0;0
47;_;0;0
48;_;0;0
49;_;0;0
50;_;0;0
51;_;0;0
52;Lv;0;0
53;=;0;0
54;;;0;0
55;_;0;0
56;_;0;0
57;_;0;0
58;_;0;0
59;_;0;0
60;_;0;0
61;_;0;0
62;_;0;0
63;_;0;0
64;_;0;0
65;_;0;0
66;_;0;0
67;_;0;0
68;_;0;0
69;_;0;0
70;_;0;0
71;_;0;0
72;_;0;0
73;_;0;0
74;_;0;0
75;_;0;0
76;_;0;0
77;_;0;0
78;_;0;0
79;_;0;0
80;▯;0;0
81;¿;0;0
82;¡;0;0
83;PK;0;0
84;MN;0;0
85;POK;0;0
86;KE;0;0
87;BLO;0;0
88;OC;0;0
89;CK;0;0
90;Í;0;0
91;%;0;0
92;(;0;0
93;);0;0
94;_;0;0
95;_;0;0
96;_;0;0
97;_;0;0
98;_;0;0
99;_;0;0
100;_;0;0
101;_;0;0
102;_;0;0
103;_;0;0
104;â;0;0
105;_;0;0
106;_;0;0
107;_;0;0
108;_;0;0
109;_;0;0
110;_;0;0
111;í;0;0
112;_;0;0
113;_;0;0
114;_;0;0
115;_;0;0
116;_;0;0
117;_;0;0
118;_;0;0
119;_;0;0
120;_;0;0
121;↑;0;0
122;↓;0;0
123;←;0;0
124;→;0;0
125;*;0;0
126;*;0;0
127;*;0;0
128;*;0;0
129;*;0;0
130;*;0;0
131;*;0;0
132;ᵉ;0;0
133;<;0;0
134;>;0;0
135;_;0;0
136;_;0;0
137;_;0;0
138;_;0;0
139;_;0;0
140;_;0;0
141;_;0;0
142;_;0;0
143;_;0;0
144;_;0;0
145;_;0;0
146;_;0;0
147;_;0;0
148;_;0;0
149;_;0;0
150;_;0;0
151;_;0;0
152;_;0;0
153;_;0;0
154;_;0;0
155;_;0;0
156;_;0;0
157;_;0;0
158;_;0;0
159;_;0;0
160;ʳᵉ;0;0
161;0;1;1
162;1;1;1
163;2;1;1
164;3;1;1
165;4;1;1
166;5;1;1
167;6;1;1
168;7;1;1
169;8;1;1
170;9;1;1
171;!;1;1
172;?;1;1
173;.;1;1
174;-;1;1
175;·;0;0
176;…;1;1
177;“;1;1
178;”;1;1
179;‘;1;1
180;’;1;1
181;♂;1;1
182;♀;1;1
183;$;0;0
184;,;1;1
185;×;0;0
186;/;1;1
187;A;1;1
188;B;1;1
189;C;1;1
190;D;1;1
191;E;1;1
192;F;1;1
193;G;1;1
194;H;1;1
195;I;1;1
196;J;1;1
197;K;1;1
198;L;1;1
199;M;1;1
200;N;1;1
201;O;1;1
202;P;1;1
203;Q;1;1
204;R;1;1
205;S;1;1
206;T;1;1
207;U;1;1
208;V;1;1
209;W;1;1
210;X;1;1
211;Y;1;1
212;Z;1;1
213;a;1;1
214;b;1;1
215;c;1;1
216;d;1;1
217;e;1;1
218;f;1;1
219;g;1;1
220;h;1;1
221;i;1;1
222;j;1;1
223;k;1;1
224;l;1;1
225;m;1;1
226;n;1;1
227;o;1;1
228;p;1;1
229;q;1;1
230;r;1;1
231;s;1;1
232;t;1;1
233;u;1;1
234;v;1;1
235;w;1;1
236;x;1;1
237;y;1;1
238;z;1;1
239;►;0;0
240;:;0;0
241;Ä;1;1
242;Ö;1;1
243;Ü;1;1
244;ä;1;1
245;ö;1;1
246;ü;1;1
247;_;0;0
248;_;0;0
249;_;0;0
250;_;0;0
251;_;0;0
252;_;0;0
253;_;0;0
254;_;0;0
255;\;0;0
